pre_agg,post_agg,change_agg,treatment,cutpoint_margin,use,military_spending,total_pop,urban_pop,us_ally,entrance_year,imports,exports,ongoing_civwar,soccer_popular,infant_mortality,life_expectancy,democracy
0,0,0,0,-4,0,391119000,7192000,1595000,0,1816,1557700000,1474800000,0,1,NA,NA,1
0,0,0,0,-4,0,25007000,2949000,527000,0,1922,504200000,316200000,0,0,NA,NA,1
0,0,0,0,-4,0,183732000,7817000,1011000,1,1828,290500000,129900000,0,1,NA,NA,1
0,0,0,0,-4,0,NA,1487000,227000,1,1846,24000000,31000000,0,1,NA,NA,0
3,3,0,0,-4,0,49621008000,160184000,46581000,1,1816,11469000000,15337000000,0,0,NA,NA,1
1,2,1,0,-4,0,300664000,28227000,3474000,1,1816,508800000,347000000,0,1,164,48.05,1
1,2,1,0,-4,0,170725000,8938000,1150000,1,1816,648390000,329810000,0,1,89,62.09,0
0,0,0,0,-4,0,122520000,11467000,2625000,1,1839,728900000,667600000,0,1,138,49.07,1
0,0,0,0,-4,0,12000000,2081000,312000,1,1846,52100000,57300000,0,1,62,64.31,0
0,0,0,0,-4,0,11000000,2294000,411000,1,1846,80980000,50950000,0,1,62,64.31,0
0,3,3,0,-4,0,861625000,38073000,7711000,1,1816,2095600000,1316520000,0,1,157,49.05,1
1,0,-1,0,-4,0,1470743000,36412000,17853000,1,1949,10805800000,10048100000,0,1,38,63.17,0
0,0,0,0,-4,0,1446237000,5122000,1095000,1,1816,17565200000,16087200000,0,1,9,74.23,1
0,0,0,0,-4,0,8111249000,16736000,4346000,0,1954,6150900000,5273220000,0,1,13,71.6,0
1,0,-1,0,-4,0,247996000,8183000,2373000,1,1854,2246040000,2540270000,0,1,82,61.42,1
0,0,0,0,-4,0,1810000000,10398000,3299000,0,1918,8885180000,9682230000,0,1,20,69.08,0
0,0,0,0,-4,0,0,264000,101000,1,1944,1355970000,1403520000,0,1,6,77.61,1
2,1,-1,0,-4,0,764000000,11569000,2260000,0,1975,2524420000,4310250000,0,1,150,41.39,0
0,0,0,0,-4,0,267000000,12960000,2365000,0,1965,1717570000,2221830000,0,1,65,48.19,0
0,0,0,0,-4,0,111000000,1320000,561000,0,1960,2378710000,4783520000,0,1,58,59.26,0
0,0,0,0,-4,0,72000000,13117000,1966000,0,1960,1762140000,450330000,0,1,86,51.24,0
0,0,0,0,-5,0,533952000,11637000,3816000,1,1816,5064000000,4259800000,0,1,18,72.94,1
0,0,0,0,-5,0,2496443000,9822000,1124000,1,1830,38731050000,35961860000,0,1,17,71.63,1
0,0,0,0,-5,0,80000000,16928000,4047000,0,1960,2794300000,3887420000,0,1,92,50.28,0
0,1,1,0,-5,0,150000000,59077000,15988000,0,1960,1648010000,1370130000,0,1,120,46.65,0
1,2,1,0,-6,0,52000000,4614000,1223000,0,1964,530880000,1136360000,0,1,118,47.83,0
0,0,0,0,-6,0,186007000,5459000,1711000,1,1848,905190000,963660000,0,1,131,50.06,0
0,0,0,0,-6,0,1570000000,4964000,1209000,0,1917,24432200000,23304600000,0,0,6,74.28,1
1,1,0,0,-6,0,2743000000,62011000,18986000,0,1855,13168000000,3907970000,0,1,67,63.73,0
1,1,0,0,-6,0,1470000000,12883000,2734000,0,1975,3436290000,6219930000,1,1,138,43.31,0
0,1,1,0,-9,0,51000000,4428000,649000,0,1961,234610000,17200000,0,1,166,37.48,0
