"","What is your present religion, if any?","...2","Do you consider yourself to be an evangelical?","Do you attend religious services","How often do you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How often do you: Pray in public using some kind of physical object (rosary, tefillin, etc)","How often do you: Pray aloud before meals in the presence of people who don't belong to your religion","How often do you: Tell someone you'll pray for him or her","How often do you: Ask or offer to pray with someone","How often do you: Bring up your religion, unprompted, in conversation","How often do you: Ask others about their religion, unprompted, in conversation","How often do you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How often do you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How often do you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","How comfortable do you feel when you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How comfortable do you feel when you: Pray in public using some kind of physical object (rosary, tefillin, etc)","How comfortable do you feel when you: Pray aloud before meals in the presence of people who don't belong to your religion","How comfortable do you feel when you: Tell someone you'll pray for him or her","How comfortable do you feel when you: Ask or offer to pray with someone","How comfortable do you feel when you: Bring up your religion, unprompted, in conversation","How comfortable do you feel when you: Ask others about their religion, unprompted, in conversation","How comfortable do you feel when you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How comfortable do you feel when you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How comfortable do you feel when you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","How comfortable do you think someone outside your religion would be if they saw you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How comfortable do you think someone outside your religion would be if they saw you: Pray in public using some kind of physical object (rosary, tefillin, etc)","How comfortable do you think someone outside your religion would be if they saw you: Pray aloud before meals in the presence of people who don't belong to your religion","How comfortable do you think someone outside your religion would be if they saw you: Tell someone you'll pray for him or her","How comfortable do you think someone outside your religion would be if they saw you: Ask or offer to pray with someone","How comfortable do you think someone outside your religion would be if they saw you: Bring up your religion, unprompted, in conversation","How comfortable do you think someone outside your religion would be if they saw you: Ask others about their religion, unprompted, in conversation","How comfortable do you think someone outside your religion would be if they saw you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How comfortable do you think someone outside your religion would be if they saw you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How comfortable do you think someone outside your religion would be if they saw you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","How comfortable would you be seeing someone who practices a different religion from you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How comfortable would you be seeing someone who practices a different religion from you: Pray in public using some kind of physical object (rosary, tefillin, etc)","How comfortable would you be seeing someone who practices a different religion from you: Pray aloud before meals in the presence of people who don't belong to that religion","How comfortable would you be seeing someone who practices a different religion from you: Tell someone ""I'll pray for you""","How comfortable would you be seeing someone who practices a different religion from you: Ask or offer to pray with you","How comfortable would you be seeing someone who practices a different religion from you: Bring up his or her own religion, unprompted, in conversation","How comfortable would you be seeing someone who practices a different religion from you: Ask you about your religion, unprompted, in conversation","How comfortable would you be seeing someone who practices a different religion from you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How comfortable would you be seeing someone who practices a different religion from you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How comfortable would you be seeing someone who practices a different religion from you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","What is your age?","What is your gender?","How much total combined money did all members of your HOUSEHOLD earn last year?","US Region"
"607","None of these","Pagan","No","Less than weekly","A few times per month","A few times per month","Not applicable to my religious beliefs","Never","Never","Once a year or less","Never","Never","Every day","Not applicable to my religious beliefs","Not at all comfortable","Not at all comfortable","I don't do this","I don't do this","I don't do this","Not at all comfortable","I don't do this","I don't do this","Not so comfortable","I don't do this","Not so comfortable","Not at all comfortable","Not at all comfortable","Not so comfortable","Not at all comfortable","Not at all comfortable","Somewhat comfortably","Not so comfortable","Not so comfortable","Not at all comfortable","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Not so comfortable","Not so comfortable","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","30 - 44","Female","$100,000 to $124,999","Pacific"
"608","Protestant",NA,"No","Less than weekly","A few times per month","Never","Once a year or less","A few times per week","Never","Never","Never","Never","Never","Never","Very comfortable","I don't do this","I don't do this","Extremely comfortable","I don't do this","Very comfortable","I don't do this","I don't do this","I don't do this","I don't do this","Extremely comfortable","Extremely comfortable","Somewhat comfortably","Extremely comfortable","Extremely comfortable","Not so comfortable","Not at all comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Extremely comfortable","Very comfortable","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Very comfortable","30 - 44","Male","$100,000 to $124,999","South Atlantic"
"609","None of these","BAPTIST","No","Weekly or more","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Every day","Every day","A few times per month","A few times per month","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Never","Not applicable to my religious beliefs","I don't do this","I don't do this","Extremely comfortable","Extremely comfortable","Extremely comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Very comfortable","Very comfortable","Somewhat comfortably","Not so comfortable","Not so comfortable","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Very comfortable","Extremely comfortable","Extremely comfortable","Not so comfortable","Not so comfortable",NA,"Somewhat comfortably","Somewhat comfortably","45 - 59","Female","$50,000 to $74,999","West South Central"
"610","Atheist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Very comfortable","45 - 59","Male","Prefer not to answer","New England"
"611","Protestant",NA,"No","Weekly or more","Never","Never","Never","Once a year or less","Never","Never","Never","Never","Never","Never","Not so comfortable","Not at all comfortable","Somewhat comfortably","Not so comfortable",NA,"Not at all comfortable","Not so comfortable","Not at all comfortable","Somewhat comfortably","Not at all comfortable","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Not so comfortable","Not at all comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","18 - 29","Male","$0 to $9,999","East South Central"
"612","None of these","Christian",NA,"Less than weekly","Never","Never","Never","Once a month or less","Never","Never","Never","Never","Never","Never","Not at all comfortable","Not so comfortable","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","I don't do this","I don't do this","I don't do this","Not at all comfortable","Not at all comfortable","Not so comfortable","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Somewhat comfortably",NA,"I don't do this","I don't do this","Not at all comfortable","Not so comfortable","Not at all comfortable","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Not so comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","30 - 44","Female","$100,000 to $124,999","East North Central"
"613","None of these","Methodist","No","Never","Once a year or less","Not applicable to my religious beliefs","Once a year or less","Once a month or less","Once a month or less","Once a year or less","Never","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Never","Somewhat comfortably","I don't do this","Somewhat comfortably","Very comfortable","Very comfortable","Not so comfortable","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","I don't do this","I don't do this","I don't do this","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","45 - 59","Female","$25,000 to $49,999","West North Central"
"614","Protestant",NA,"Yes","Less than weekly","Not applicable to my religious beliefs","Not applicable to my religious beliefs","A few times per month","A few times per month","Once a year or less","Once a year or less","Once a year or less","Not applicable to my religious beliefs","Never","Not applicable to my religious beliefs","I don't do this","I don't do this","Somewhat comfortably","Very comfortable","Not so comfortable","Somewhat comfortably","Not so comfortable","I don't do this","I don't do this","I don't do this","Not so comfortable","Not so comfortable","Not so comfortable","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Not so comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","30 - 44","Female","$125,000 to $149,999","West North Central"
"615","None of these","Atheist-Unitarian","No","Less than weekly","Never","Never","Never","Never","Not applicable to my religious beliefs","Once a month or less","Never","Not applicable to my religious beliefs","Never","Never","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","I don't do this","I don't do this","I don't do this","I don't do this","Not so comfortable","Not so comfortable","Very comfortable","Very comfortable","Not so comfortable","Very comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","60+","Female","$25,000 to $49,999","East North Central"
"616","Roman Catholic",NA,"Yes","Weekly or more","Every day","Every day","Every day","Every day","Every day","Every day","Every day","Every day","Every day","Every day","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable",NA,"Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","18 - 29","Male","$75,000 to $99,999","Pacific"
"617","Protestant",NA,"Yes","Weekly or more","A few times per week","Not applicable to my religious beliefs","A few times per month","A few times per week","A few times per month","A few times per month","A few times per month","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Once a month or less","Somewhat comfortably","I don't do this","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","I don't do this","I don't do this","Very comfortable","Somewhat comfortably","I don't do this","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","I don't do this","I don't do this","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","30 - 44","Female","$50,000 to $74,999","West South Central"
"618","Agnostic",NA,"No","Never","Never","Never","Once a year or less","Never","Never","Never","Once a month or less","Never","Never","Never","I don't do this","I don't do this","I don't do this","I don't do this","Not at all comfortable","I don't do this","Very comfortable","I don't do this","I don't do this","I don't do this","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","I don't do this","Not so comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Very comfortable","Not at all comfortable","Extremely comfortable","Extremely comfortable","Very comfortable","Somewhat comfortably","Not so comfortable","18 - 29","Male","$50,000 to $74,999","East North Central"
"619","Muslim",NA,"No","Weekly or more","Every day","Every day","Every day","Never","A few times per month","A few times per week","A few times per month","Every day","Every day","Every day","Not at all comfortable","Not at all comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","18 - 29","Female","$75,000 to $99,999","Pacific"
"620","Roman Catholic",NA,"No","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","30 - 44","Male","$100,000 to $124,999","East North Central"
"621","Jewish",NA,"No","Never","Not applicable to my religious beliefs","Never","Never","A few times per month","A few times per month","Never","Never","Not applicable to my religious beliefs","Never","Never","I don't do this","I don't do this","I don't do this","Extremely comfortable","Extremely comfortable","Very comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Extremely comfortable","Extremely comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Very comfortable","Very comfortable","Somewhat comfortably","60+","Female","$25,000 to $49,999","Pacific"
"622","None of these","I prefer not to be put in a category","No","Never","Never","Never","Once a year or less","Once a year or less","Never","Never","Never","Never","Once a year or less","Never","I don't do this","I don't do this","I don't do this","Somewhat comfortably","I don't do this","I don't do this","I don't do this","I don't do this","Very comfortable","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Very comfortable","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","I don't do this","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","18 - 29","Female","$50,000 to $74,999","South Atlantic"
"623","Roman Catholic",NA,"No","Weekly or more","A few times per week","A few times per month","A few times per month","Every day","Every day","A few times per month","A few times per month","Once a month or less","Never","Once a month or less","Very comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Somewhat comfortably","Very comfortable","Somewhat comfortably","Not so comfortable","Very comfortable","30 - 44","Female","$75,000 to $99,999",NA
"624","Protestant",NA,"No","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Not so comfortable","Very comfortable","Very comfortable","Very comfortable","45 - 59","Male","$100,000 to $124,999","East North Central"
"625","None of these","Quaker","No","Less than weekly","Never","Never","A few times per week","A few times per month","Once a month or less","Once a month or less","Never","Never","Never","Never","I don't do this","I don't do this","Very comfortable","Very comfortable","I don't do this","Very comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Very comfortable","I don't do this","I don't do this","Very comfortable","I don't do this","I don't do this","I don't do this","I don't do this","Not so comfortable","Not so comfortable","Very comfortable","Very comfortable","Not so comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","60+","Male","$25,000 to $49,999","Middle Atlantic"
"626","Orthodox Christian",NA,"Yes","Less than weekly","Every day","Never","A few times per week","Every day","Every day","Once a year or less","Once a year or less","Never","Never","Never","Very comfortable","I don't do this","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","I don't do this","I don't do this","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","I don't do this","I don't do this","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","45 - 59","Female","$50,000 to $74,999","East North Central"
"627","Agnostic",NA,"No","Never","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Never","Never","Never","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Not so comfortable","Very comfortable","Not so comfortable","Very comfortable","Very comfortable","Very comfortable","60+","Female","$25,000 to $49,999","East South Central"
"628","Roman Catholic",NA,"No","Weekly or more","Never","Never","Never","A few times per month","A few times per month","Never","Never","Never","Once a year or less","Once a year or less","Extremely comfortable","Very comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Somewhat comfortably","I don't do this","I don't do this","Extremely comfortable","Extremely comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Very comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Very comfortable","60+","Female","$10,000 to $24,999","East South Central"
"629","Orthodox Christian",NA,"No","Weekly or more","Every day","Once a year or less","A few times per week","Every day","Every day","Never","Never","Never","Never","Once a year or less","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Very comfortable","Very comfortable","I don't do this","Extremely comfortable","Extremely comfortable","Not so comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not so comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not so comfortable","Not so comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","45 - 59","Male","$100,000 to $124,999","East North Central"
"630","Protestant",NA,"Yes","Less than weekly","Never","Never",NA,"A few times per week","A few times per week","Never","A few times per week","Never","Never","Never","Very comfortable","Somewhat comfortably","Somewhat comfortably","Extremely comfortable","Extremely comfortable","Very comfortable","Extremely comfortable","I don't do this","I don't do this","Very comfortable","Extremely comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Somewhat comfortably","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","45 - 59","Male","$150,000 to $174,999","Pacific"
"631","None of these","evangelist","Yes","Weekly or more","A few times per week","Not applicable to my religious beliefs","A few times per month","A few times per month","A few times per month","A few times per month","Once a month or less","Never","Not applicable to my religious beliefs","Once a year or less","Somewhat comfortably","I don't do this","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","I don't do this","I don't do this","Very comfortable","Somewhat comfortably","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Somewhat comfortably","30 - 44","Female","$25,000 to $49,999","South Atlantic"
